기온분석
[검색조건]
자료구분 : 월
자료형태 : 기본
지역/지점 : 경남
기간 : 1973~2021 01~12

년월,지점,평균기온(℃),최저기온(℃),최고기온(℃)
1986-02,경남,0.2,-5.1,6.5
1986-03,경남,6.6,1,13.2
1986-04,경남,13.3,6.7,20.2
1986-05,경남,17.7,11.9,23.9
1986-06,경남,21.3,17,26.1
1986-07,경남,23.2,20.1,27.1
1986-08,경남,25.5,21.5,30.8
1986-09,경남,19.6,15.2,25.2
1986-10,경남,13,8,19.7
1986-11,경남,7.4,1.7,14.6
1986-12,경남,4.1,-1,10.7
1987-01,경남,0.8,-4.1,6.9
1987-02,경남,3.2,-1.7,9.7
1987-03,경남,6.5,1.2,12.3
1987-04,경남,12.6,6.2,19.5
1987-05,경남,17.4,11.5,23.8
1987-06,경남,21.2,16,26.9
1987-07,경남,24.3,21.2,28.4
1987-08,경남,24.8,21.9,28.9
1987-09,경남,19.5,14.9,25.6
1987-10,경남,16,10.7,22.9
1987-11,경남,8.7,3.2,15.8
1987-12,경남,2.6,-3,10.5
1988-01,경남,1.3,-3.6,7.7
1988-02,경남,1.2,-4.1,7.4
1988-03,경남,5.7,0.5,11.7
1988-04,경남,12.5,6,19.2
1988-05,경남,17.2,11.5,23.7
1988-06,경남,21.8,17.2,27.1
1988-07,경남,24.1,21.1,28.3
1988-08,경남,25.3,21,30.8
1988-09,경남,20.8,16.5,26.5
1988-10,경남,15.3,9.2,23.1
1988-11,경남,7.2,1.1,14.8
1988-12,경남,2.2,-3.6,9.6
1989-01,경남,2.7,-1.3,8.1
1989-02,경남,3.8,-0.7,9.6
1989-03,경남,7.1,1.6,13.6
1989-04,경남,14.1,7.5,21.6
1989-05,경남,18,12.1,24.8
1989-06,경남,20.4,15.8,25.8
1989-07,경남,24.1,20.8,28.5
1989-08,경남,24.8,20.8,29.7
1989-09,경남,20.7,17.1,25.5
1989-10,경남,14.2,8.3,22.2
1989-11,경남,8.6,3.9,14.7
1989-12,경남,3.7,-1.2,10.3
1990-01,경남,-0.1,-4.9,5.6
1990-02,경남,5.1,1.3,9.5
1990-03,경남,8.2,2.7,14.4
1990-04,경남,12.2,6.6,18.1
1990-05,경남,17.1,11.8,23
1990-06,경남,21.8,17.7,26.5
1990-07,경남,26,22.5,30.6
1990-08,경남,27.1,22.7,32.9
1990-09,경남,21.6,18.1,26.4
1990-10,경남,15.2,10,22.3
1990-11,경남,11,5.5,17.8
1990-12,경남,2.9,-2.2,9.6
1991-01,경남,0.8,-3.8,6.4
1991-02,경남,1.1,-3.8,6.8
1991-03,경남,6.7,1.7,12.6
1991-04,경남,12.5,6.1,19.5
1991-05,경남,16.9,11.2,23
1991-06,경남,22.4,18.1,27.4
1991-07,경남,24.7,21.7,28.4
1991-08,경남,23.7,20.5,27.9
1991-09,경남,21.1,17.2,26.3
1991-10,경남,14.4,8.6,21.7
1991-11,경남,7.7,1.7,15.1
1991-12,경남,4.4,-0.3,10.5
1992-01,경남,2.2,-2.5,8.3
1992-02,경남,2.5,-3,9.2
1992-03,경남,7.7,3.2,13.5
1992-04,경남,12.9,6.6,19.5
1992-05,경남,16.6,10.7,22.8
1992-06,경남,20.3,15,26.3
1992-07,경남,25.3,21.1,30.5
1992-08,경남,24.5,21.4,28.5
1992-09,경남,20.9,16.7,25.9
1992-10,경남,14.1,9.2,20.6
1992-11,경남,7.6,1.9,14.7
1992-12,경남,3.9,-0.8,9.3
1993-01,경남,0.7,-3.8,6
1993-02,경남,3.3,-2.3,9.7
1993-03,경남,6.4,0.8,12.7
1993-04,경남,12.4,5.8,19.2
1993-05,경남,16.8,11.1,23.3
1993-06,경남,21,17.1,25.9
1993-07,경남,22.1,18.8,26.1
1993-08,경남,22.2,19,26.4
1993-09,경남,20,15.4,25.8
1993-10,경남,13.7,7.9,20.8
1993-11,경남,9.5,5.1,14.9
1993-12,경남,2.4,-2.9,8.6
1994-01,경남,0.8,-4.4,7.2
1994-02,경남,2.6,-2.7,9.2
1994-03,경남,5.5,-0.2,11.8
1994-04,경남,14,7.6,20.7
1994-05,경남,17.7,11.6,23.6
1994-06,경남,21.1,16,26.9
1994-07,경남,28.4,23.6,34
1994-08,경남,27.1,23,32
1994-09,경남,21.1,15.3,27.9
1994-10,경남,15,9.5,22
1994-11,경남,10.3,4.7,17.3
1994-12,경남,3.7,-1.7,9.8
1995-01,경남,0.4,-4.6,6.2
1995-02,경남,2.8,-2.8,9.8
1995-03,경남,7.1,1.6,13.4
1995-04,경남,12.2,5.4,19.3
1995-05,경남,16.3,10.1,22.7
1995-06,경남,20.3,15.5,25.7
1995-07,경남,24.8,21.3,29.2
1995-08,경남,26.8,23,32.1
1995-09,경남,19.6,15.1,25.1
1995-10,경남,15.1,9.4,22.5
1995-11,경남,7.3,0.7,15.2
1995-12,경남,1.5,-4.2,8.2
1996-01,경남,0.9,-4.3,7.2
1996-02,경남,1.1,-4.7,8
1996-03,경남,6,0.7,11.7
1996-04,경남,11.1,4.6,17.9
1996-05,경남,17.5,11.3,24.4
1996-06,경남,21,17.6,25.3
1996-07,경남,24.2,20.5,29.1
1996-08,경남,25.8,21.6,31.2
1996-09,경남,21,16.2,27.5
1996-10,경남,15.4,9.8,22.7
1996-11,경남,9.2,4.4,14.9
1996-12,경남,3.4,-2.1,10.8
1997-01,경남,1,-4.4,7.5
1997-02,경남,3.7,-2.6,10.8
1997-03,경남,8.3,2.4,15
1997-04,경남,13.2,7.1,19.9
1997-05,경남,17.8,12.3,23.9
1997-06,경남,22,16.8,28.2
1997-07,경남,24.5,21,29.2
1997-08,경남,25.1,21.4,30
1997-09,경남,20.2,15.4,26.5
1997-10,경남,14.4,7.9,22.1
1997-11,경남,10.1,4.9,16.5
1997-12,경남,3.8,-0.8,9.6
1998-01,경남,1.6,-3,6.7
1998-02,경남,5.1,-0.1,11
1998-03,경남,8.7,3,15.3
1998-04,경남,15.4,10.8,21.1
1998-05,경남,18.7,13.4,24.6
1998-06,경남,19.9,16.2,24.1
1998-07,경남,24.4,21.5,28.1
1998-08,경남,25.4,22.2,29.7
1998-09,경남,22.2,18,27.7
1998-10,경남,17.1,12.4,23.2
1998-11,경남,8.8,3,15.9
1998-12,경남,4.2,-1.6,11.5
1999-01,경남,1.5,-3.8,7.8
1999-02,경남,3,-2.6,9.1
1999-03,경남,7.5,1.9,13.4
1999-04,경남,13.5,7.4,20
1999-05,경남,17.8,11.5,24.3
1999-06,경남,21.4,16.8,26.8
1999-07,경남,23.2,20.2,27.2
1999-08,경남,24.1,21.1,28.3
1999-09,경남,22.4,18.9,27.2
