년월,지점,평균기온(℃),최저기온(℃),최고기온(℃)
1986-03,전북,5.2,0.3,11.5
1986-04,전북,11.9,5.6,19
1986-05,전북,16.7,11.1,22.8
1986-06,전북,21.8,17.6,26.7
1986-07,전북,24.1,20.7,28.2
1986-08,전북,25.5,21.1,30.5
1986-09,전북,19.5,15.1,24.7
1986-10,전북,13.2,8.1,19.1
1986-11,전북,6.6,1.5,12.4
1986-12,전북,3.5,-0.7,8.3
1987-01,전북,-0.4,-4.4,4
1987-02,전북,1.6,-2.6,6.6
1987-03,전북,4.7,0,10.1
1987-04,전북,10.9,4.8,17.7
1987-05,전북,16.9,11.2,23.2
1987-06,전북,21.9,16.9,27.6
1987-07,전북,24.2,20.9,27.9
1987-08,전북,25.2,21.7,29.8
1987-09,전북,19.8,14.8,25.8
1987-10,전북,15.5,10.1,22.3
1987-11,전북,8.4,3.1,14.5
1987-12,전북,2.5,-2.3,8.2
1988-01,전북,0,-4.6,4.7
1988-02,전북,-0.2,-5,5.3
1988-03,전북,4.3,-0.7,10.2
1988-04,전북,11.3,4.7,18.3
1988-05,전북,17.5,11.7,24.1
1988-06,전북,22.2,17.7,27.6
1988-07,전북,26.2,22.7,30.9
1988-08,전북,25.9,21.4,31.5
1988-09,전북,21.1,15.9,27.3
1988-10,전북,15,8.9,22.2
1988-11,전북,6.7,1.1,13
1988-12,전북,1.9,-2.3,7.1
1989-01,전북,1.6,-2,5.7
1989-02,전북,3.1,-1.3,8.1
1989-03,전북,6.3,0.8,12.4
1989-04,전북,13.4,6.8,20.8
1989-05,전북,17.8,12.3,24.3
1989-06,전북,20.9,16.2,26.1
1989-07,전북,24.8,21.2,29.5
1989-08,전북,25.4,21.2,30.5
1989-09,전북,20.9,16.6,26.2
1989-10,전북,14,7.9,21.1
1989-11,전북,8.1,3.9,13.2
1989-12,전북,3,-1.1,7.9
1990-01,전북,-0.8,-5,4.2
1990-02,전북,3.2,-0.7,7.8
1990-03,전북,7.1,2.3,12.9
1990-04,전북,11.4,5.9,17.5
1990-05,전북,16.9,12.2,22.3
1990-06,전북,22.3,18.2,27.2
1990-07,전북,26.4,23,31.1
1990-08,전북,26.9,22.7,32.7
1990-09,전북,21.9,17.5,27.5
1990-10,전북,14.9,9.1,22
1990-11,전북,10.5,5.5,16.7
1990-12,전북,2.8,-1.3,8.2
1991-01,전북,-0.1,-4.2,4.9
1991-02,전북,0,-4.4,5
1991-03,전북,5.3,0.7,11.2
1991-04,전북,11.9,5.5,19.4
1991-05,전북,17.5,11.8,23.7
1991-06,전북,22.3,18,27.4
1991-07,전북,25.2,22.2,29.1
1991-08,전북,24.7,21,29.6
1991-09,전북,21.1,17,26.1
1991-10,전북,13.8,7.9,20.7
1991-11,전북,7,1.7,13.6
1991-12,전북,3.5,-1,9
1992-01,전북,1.2,-2.3,5.9
1992-02,전북,1.7,-2.8,7.2
1992-03,전북,7,2.5,12.9
1992-04,전북,11.9,5.9,19
1992-05,전북,16.4,10.9,22.7
1992-06,전북,20.8,15.6,26.4
1992-07,전북,25.8,22.1,30.6
1992-08,전북,25.4,21.5,30.1
1992-09,전북,20.6,16.1,25.5
1992-10,전북,14,8.6,20.1
1992-11,전북,7,2,13.2
1992-12,전북,3.2,-1.1,7.9
1993-01,전북,-1.2,-5.4,3.1
1993-02,전북,1.9,-2.6,7.2
1993-03,전북,5.4,0.2,11.6
1993-04,전북,11.1,5.3,17.6
1993-05,전북,17.2,11.7,23.5
1993-06,전북,21.2,17,26.3
1993-07,전북,23.4,19.9,27.8
1993-08,전북,22.9,19.4,27.1
1993-09,전북,20.7,15.5,26.4
1993-10,전북,13.3,7.2,19.9
1993-11,전북,9.1,4.4,14.2
1993-12,전북,1.8,-2.9,6.7
1994-01,전북,-0.2,-4.8,4.9
1994-02,전북,1,-3.5,6.6
1994-03,전북,4.1,-1,9.6
1994-04,전북,14,7.7,21.1
1994-05,전북,18,12.4,23.9
1994-06,전북,21.5,16.2,27.1
1994-07,전북,28.9,24.4,34.4
1994-08,전북,27.4,23,32.5
1994-09,전북,20.7,15,26.9
1994-10,전북,15.1,9.7,21.4
1994-11,전북,9.8,4.2,16
1994-12,전북,2.9,-1.6,7.9
1995-01,전북,-0.6,-4.6,4.1
1995-02,전북,1,-4,7.2
1995-03,전북,6.6,1.7,12.6
1995-04,전북,10.7,4.3,17.9
1995-05,전북,16.7,10.7,22.9
1995-06,전북,21.5,16.8,27.1
1995-07,전북,25.4,21.9,29.7
1995-08,전북,27.1,23.3,32.1
1995-09,전북,20,15,25.4
1995-10,전북,15.1,9.2,22
1995-11,전북,7,1.5,13.8
1995-12,전북,0.2,-4,5.3
1996-01,전북,-0.4,-4.8,4.8
1996-02,전북,-0.5,-5.2,5.1
1996-03,전북,4.8,0,10.3
1996-04,전북,9.6,3.5,16
1996-05,전북,16.8,10.8,23.5
1996-06,전북,21.6,18.1,26
1996-07,전북,25.4,21.3,30.3
1996-08,전북,26.2,22.3,31.1
1996-09,전북,21.5,16.3,27.9
1996-10,전북,15,9.7,21.4
1996-11,전북,8.1,3.5,13
1996-12,전북,2.3,-2.7,8.6
1997-01,전북,-1.2,-6.1,4.4
1997-02,전북,1.6,-3.7,7.9
1997-03,전북,6.8,1.6,13.1
1997-04,전북,12.3,6.7,19
1997-05,전북,18.3,13.2,24.3
1997-06,전북,22.8,17.9,28.7
1997-07,전북,25.4,22.1,29.9
1997-08,전북,26.2,22.2,31.4
1997-09,전북,20.6,15.4,26.8
1997-10,전북,14.3,8.4,20.9
1997-11,전북,9.8,5.4,15.2
1997-12,전북,2.9,-1.2,7.7
1998-01,전북,0.3,-3.7,4.5
1998-02,전북,4.2,-0.4,9.5
1998-03,전북,7.1,1.9,13.1
1998-04,전북,15.5,11,21.2
1998-05,전북,18.3,13.1,24.2
1998-06,전북,21.1,17.3,25.8
1998-07,전북,25.5,21.9,29.7
1998-08,전북,25.7,22.2,29.9
1998-09,전북,22.4,17.8,27.8
1998-10,전북,16.5,11.5,22.4
1998-11,전북,8.7,3.1,14.8
1998-12,전북,3.1,-1.9,8.9
1999-01,전북,0.8,-3.7,6
1999-02,전북,1.9,-2.6,6.9
1999-03,전북,6.7,1,12.7
1999-04,전북,12.4,6.5,19.3
1999-05,전북,16.5,10.5,23
1999-06,전북,21.6,16.8,27.6
1999-07,전북,24.9,21,29.6
1999-08,전북,25.4,21.5,30.2
1999-09,전북,22.9,19.1,27.8
1999-10,전북,14.4,9.4,20.3
1999-11,전북,8.6,3.8,14.3
1999-12,전북,2,-2.8,7.1
2000-01,전북,0.1,-4,4.5
2000-02,전북,-0.3,-4.9,4.7
2000-03,전북,6,-0.1,13
2000-04,전북,11.7,5.3,18.6
2000-05,전북,17,11.4,23.6
2000-06,전북,21.9,17.5,27.4
2000-07,전북,26.1,22.2,31.2
2000-08,전북,26.1,22,31.3
2000-09,전북,19.9,15.9,25
2000-10,전북,15.1,9.9,21.2
2000-11,전북,7.8,2.7,13.6
2000-12,전북,2.7,-2.6,8.6
2001-01,전북,-0.4,-4.8,4.2
2001-02,전북,2,-2.6,7.5
2001-03,전북,5.6,0.1,11.8
2001-04,전북,12.5,5.6,20.2
2001-05,전북,18.3,12.9,24.8
2001-06,전북,21.9,18,26.7
2001-07,전북,26.2,22.6,31.1
2001-08,전북,25.9,21.7,31.2
2001-09,전북,21.4,15.9,28.1
2001-10,전북,15.8,11.2,21.6
2001-11,전북,7.5,2.5,13.5
2001-12,전북,1.6,-2.2,6
2002-01,전북,2.8,-1.2,7.4
2002-02,전북,2.4,-2.8,8.5
2002-03,전북,7.7,1.8,14.6
2002-04,전북,13.8,7.8,20.3
2002-05,전북,17.1,12.2,23.1
2002-06,전북,21.9,16.7,28
2002-07,전북,25.4,21.9,30
2002-08,전북,24.7,22,28.6
2002-09,전북,21,16.6,26.7
2002-10,전북,13.6,8.3,19.9
2002-11,전북,5.7,0.8,11.1
2002-12,전북,2.8,-1.2,7.4
2003-01,전북,-1.4,-6,3.1
2003-02,전북,2.8,-1.5,7.6
2003-03,전북,6,1.2,11.6
2003-04,전북,12.6,7.5,18.4
2003-05,전북,18.3,12.9,24.6
2003-06,전북,21.3,16.9,26.3
2003-07,전북,23.4,20.6,27.4
2003-08,전북,24.4,21.2,28.9
2003-09,전북,21.8,17.5,27.1
2003-10,전북,14.3,8.7,20.8
2003-11,전북,10.3,5.5,15.7
2003-12,전북,2.3,-1.6,6.8
2004-01,전북,-0.9,-5.2,4.4
2004-02,전북,3.3,-1.8,9.3
2004-03,전북,6.4,0.6,12.9
2004-04,전북,12.6,6.1,19.5
2004-05,전북,17.6,12.8,23
2004-06,전북,22.4,17.8,27.7
2004-07,전북,26.2,22.9,30.8
2004-08,전북,26.1,22.4,31.3
2004-09,전북,21.8,17.6,27.2
2004-10,전북,14.9,8.8,21.7
2004-11,전북,9.7,4.7,15.6
2004-12,전북,3.7,-1,8.8
2005-01,전북,-0.6,-4.7,3.7
2005-02,전북,-0.3,-4.3,4
2005-03,전북,4.4,-0.8,10.3
2005-04,전북,13.6,7.4,20.7
2005-05,전북,17.3,11.2,24.2
2005-06,전북,22.7,18.5,28.2
2005-07,전북,25.5,22.2,30
2005-08,전북,25.7,22.3,30.3
2005-09,전북,22.6,18.8,27.5
2005-10,전북,14.6,9.4,20.5
2005-11,전북,9.2,3.8,15.1
2005-12,전북,-1.8,-6.4,2.6
2006-01,전북,1.2,-2.6,5.4
2006-02,전북,1.4,-3.1,6.1
2006-03,전북,6.1,0.4,12.4
2006-04,전북,11.4,6.3,17
2006-05,전북,18.2,13,24
2006-06,전북,22.6,17.9,28.3
2006-07,전북,24.8,22.1,28.7
2006-08,전북,27.3,23.5,32.8
2006-09,전북,20.4,15.5,26.4
2006-10,전북,17.6,12.1,24.6
2006-11,전북,10,4.8,15.5
2006-12,전북,2.8,-1.3,7.9
2007-01,전북,1.4,-2.4,6.3
2007-02,전북,4.6,-0.2,10.5
2007-03,전북,7.4,2.3,13.6
2007-04,전북,11.5,5.7,17.9
2007-05,전북,18.5,12.8,24.7
2007-06,전북,22.6,18.3,27.8
2007-07,전북,24.9,21.7,29.3
2007-08,전북,27.2,23.9,31.9
2007-09,전북,22,18.9,26
2007-10,전북,15.3,10.4,21.2
2007-11,전북,7.5,2.4,13.4
2007-12,전북,3.4,-0.4,8.2
2008-01,전북,-0.2,-3.6,3.7
2008-02,전북,-0.2,-4.8,5.1
2008-03,전북,7.3,1.7,13.7
2008-04,전북,13.4,7.4,20.5
2008-05,전북,18,12.2,24.7
2008-06,전북,21.9,18,27.2
2008-07,전북,26.9,23.6,31.6
2008-08,전북,25.8,21.6,30.8
2008-09,전북,22.7,18.3,28.5
2008-10,전북,16.5,11.1,23.1
2008-11,전북,8.7,3.8,14.3
2008-12,전북,3.2,-1.5,8.1
2009-01,전북,-0.3,-4.9,4.8
2009-02,전북,4,-0.6,9.1
2009-03,전북,6.8,1.5,12.9
2009-04,전북,12.2,6.2,19.4
2009-05,전북,18.6,12.6,25.4
2009-06,전북,22.7,17.8,28.5
2009-07,전북,24.7,21.4,28.9
2009-08,전북,25.7,21.9,30.7
2009-09,전북,21.7,17.1,27.4
2009-10,전북,16.5,10.7,23.1
2009-11,전북,8.8,4.5,13.7
2009-12,전북,1.3,-2.7,5.7
2010-01,전북,-0.9,-5.3,3.8
2010-02,전북,3,-1.1,7.5
2010-03,전북,6.1,1.4,10.7
2010-04,전북,9.9,4.6,15.6
2010-05,전북,17.6,12.2,23.6
2010-06,전북,22.9,18.3,28.7
2010-07,전북,26.3,23.1,30.9
2010-08,전북,27.7,24.4,32.4
2010-09,전북,23.1,19.3,28.3
2010-10,전북,14.8,9.6,20.8
2010-11,전북,8,2.4,13.9
2010-12,전북,1.7,-3.1,6.7
2011-01,전북,-5,-9.9,-0.1
2011-02,전북,1.7,-3.2,7.4
2011-03,전북,4.3,-0.7,10.1
2011-04,전북,11.2,5,17.7
2011-05,전북,18.3,13,24
2011-06,전북,22.8,18.5,28.4
2011-07,전북,26.4,23.3,30.4
2011-08,전북,25.9,22.8,30.2
2011-09,전북,21.6,17.3,27.2
2011-10,전북,14.1,8.7,20.4
2011-11,전북,12,7.6,17.1
2011-12,전북,1.1,-2.9,5.4
2012-01,전북,-1,-5.1,3.5
2012-02,전북,-0.5,-5.1,4.6
2012-03,전북,5.5,0.9,10.4
2012-04,전북,12.8,6.5,19.4
2012-05,전북,19,13.6,25.6
2012-06,전북,23.3,18.9,29
2012-07,전북,26.3,22.7,30.8
2012-08,전북,27.4,23.7,32.1
2012-09,전북,20.9,16.9,25.7
2012-10,전북,15.2,9.7,21.6
2012-11,전북,7.3,2.9,12.3
2012-12,전북,-1.1,-5.3,3.4
2013-01,전북,-1.4,-6.2,3.4
2013-02,전북,1,-3.5,5.8
2013-03,전북,6.3,0.3,13.5
2013-04,전북,10.4,4.4,16.8
2013-05,전북,18.1,12.3,24.7
2013-06,전북,23.3,19.2,28.8
2013-07,전북,27.5,24.4,31.5
2013-08,전북,28.2,24.3,33.4
2013-09,전북,22,17.5,27.5
2013-10,전북,15.9,10.4,22.4
2013-11,전북,8.1,3.4,13.3
2013-12,전북,2.3,-1.7,6.8
2014-01,전북,1,-4.3,6.7
2014-02,전북,3.1,-1.9,8.9
2014-03,전북,7.9,2.5,13.8
2014-04,전북,13.4,7.9,20.1
2014-05,전북,18.6,12.4,25.4
