"관측지점별(1)",평균 기온 (℃),최고 기온 (℃),최저 기온 (℃)
"속초시",12.5,16.6,8.7
"철원군",10.3,16.4,4.7
"동두천시",11.5,17.8,6.3
"대관령",7.1,12.2,2.3
"춘천시",11.4,17.4,6.3
"백령도",11.3,14.5,8.7
"강릉시",13.5,17.8,9.6
"동해시",12.8,17.0,9.0
"강남구",12.8,17.4,8.9
"도봉구",12.5,16.6,9.1
"원주시",12.0,17.8,6.9
"울릉도",12.7,16.0,10.1
"수원시",12.5,17.7,8.0
"영월시",11.2,17.7,5.6
"충주시",11.7,17.9,6.3
"서산시",12.1,17.5,7.3
"울진군",12.8,17.5,8.7
"청주시",13.1,18.4,8.4
"대전",13.1,18.5,8.4
"추풍령",11.8,17.5,6.7
"안동시",12.2,18.4,6.8
"포항시남구",14.6,18.9,10.9
"군산시",13.0,17.6,9.2
"대구",14,19,10
"전주시덕진구",14,18,8
"울산",14.4,19.4,10.2
"창원시",14.8,19.4,11.0
"광주시",14.1,19.4,9.8
"부산진구",15.0,19.2,11.7
"통영시",14.6,19.0,11.0
"목포시",14.0,18.4,10.5
"여수시",14.6,18.2,11.7
"흑산도",13.5,16.5,11.2
"완도",14.3,18.6,10.7
"제주시",16.2,19.3,13.4
"고산",15.7,18.6,13.2
"창원시성산구",15.6,19.2,12.1
"서귀포시",16.9,20.3,13.9
"진주시",13.4,19.8,7.8
"강화군",11.3,16.3,6.6
"양평군",11.7,17.8,6.5
"이천시",11.7,17.9,6.3
"인제군",10.4,16.7,5.0
"홍천군",10.8,17.7,5.3
"태백시",9.0,14.6,4.0
"제천시",10.3,17.0,4.4
"보은군",11.2,17.7,5.5
"천안시동남구",12.0,17.9,6.7
"보령시",12.7,17.6,8.4
"부여군",12.4,18.8,7.1
"금산군",11.8,18.5,6.1
"부안군",12.9,18.3,8.4
"임실군",11.3,18.1,5.6
"정읍시",13.3,18.9,8.5
"남원시",12.5,19.1,6.8
"장수군",10.7,17.1,5.1
"순천시",14,18,8
"장흥군",13.3,19.2,8.1
"해남군",13.5,19.0,8.4
"고흥군",13.7,19.2,8.6
"봉화군",10.0,17.2,3.7
"영주시",11.7,17.6,6.2
"문경시",11.9,17.8,6.6
"영덕군",13.1,18.3,8.5
"의성군",11.6,19.2,5.1
"구미시",13.1,19.2,7.8
"영천시",12.8,19.2,7.1
"거창군",12.0,18.9,6.0
"합천군",13.2,20.1,7.5
"밀양시",13.6,20.3,7.9
"산청군",13.0,19.3,7.8
"거제시",14.4,19.1,10.2
"남해군",14.3,19.3,10.1
"파주시",11.0,17.3,5.6
"상주시",12.8,18.6,7.8
"고창군",13.2,18.6,8.6
"정선군",10.7,17.1,5.7
"영광군",13.1,18.3,8.5
"김해시",15.1,20.3,10.9
"순창군",12.8,18.9,7.5
"양산시",14.9,20.3,10.3
"강진군",13.8,19.1,9.1
"의령군",13.2,20.0,7.5
"함양군",12.8,19.5,7.1
"진도군",13.9,18.6,9.6
"청송군",11.2,18.2,5.4
"경주시",13.4,19.6,8.0
"대구(신암)",14.5,19.8,10.0
"전주시완산구",13.7,19.2,8.9
