년월,지점,평균기온(℃),최저기온(℃),최고기온(℃)
1986-04,경북,12.6,5.8,19.5
1986-05,경북,17.1,10.8,23.5
1986-06,경북,20.6,16.4,25.3
1986-07,경북,22.6,19.4,26.6
1986-08,경북,24.5,20.7,29.5
1986-09,경북,18.9,14.2,24.5
1986-10,경북,12.1,7,18.2
1986-11,경북,6.1,0.5,12.8
1986-12,경북,3.1,-1.4,8.7
1987-01,경북,-0.6,-5.2,4.7
1987-02,경북,1.7,-2.7,7.4
1987-03,경북,5.4,0.4,10.9
1987-04,경북,12,5.1,19
1987-05,경북,17.2,10.8,23.8
1987-06,경북,21.2,15.2,27.2
1987-07,경북,24.2,20.4,28.6
1987-08,경북,24.1,21.1,28.4
1987-09,경북,18.7,13.8,24.8
1987-10,경북,15,9.4,21.9
1987-11,경북,7.4,1.8,14
1987-12,경북,1.6,-3.8,8.6
1988-01,경북,-0.1,-5,5.6
1988-02,경북,-0.7,-5.9,5.4
1988-03,경북,4.5,-0.9,10.3
1988-04,경북,12.2,5.3,19
1988-05,경북,17.1,10.6,23.6
1988-06,경북,21.3,16.5,26.5
1988-07,경북,23.1,20.1,27
1988-08,경북,24.9,20.5,30.2
1988-09,경북,19.8,15.3,25.3
1988-10,경북,14.3,8.1,21.5
1988-11,경북,6.2,0,13.1
1988-12,경북,0.9,-4.2,7.4
1989-01,경북,1.7,-2.3,6.5
1989-02,경북,2.9,-1.7,8.5
1989-03,경북,6.2,1.2,12
1989-04,경북,13.7,6.2,21
1989-05,경북,18,11.6,24.4
1989-06,경북,20.1,15.2,25.4
1989-07,경북,23.4,19.8,27.9
1989-08,경북,24.2,19.8,28.9
1989-09,경북,20,16.1,24.8
1989-10,경북,13,6.7,20.7
1989-11,경북,7.2,2.6,13
1989-12,경북,2.7,-2,8.5
1990-01,경북,-1.7,-6.3,3.6
1990-02,경북,3.8,0.4,7.9
1990-03,경북,7.5,2.1,13.3
1990-04,경북,11.6,5.6,17.5
1990-05,경북,16.9,11.4,22.6
1990-06,경북,21.3,17,26.3
1990-07,경북,25.3,21.9,29.9
1990-08,경북,26.5,21.9,32.1
1990-09,경북,20.5,16.5,25.4
1990-10,경북,14.1,8.2,21.4
1990-11,경북,9.9,4.3,16.4
1990-12,경북,1.5,-3.8,8.1
1991-01,경북,-1.1,-5.8,4.6
1991-02,경북,-0.1,-4.8,5.4
1991-03,경북,5.5,0.6,11
1991-04,경북,12.1,5,19.1
1991-05,경북,16.7,10.3,23
1991-06,경북,22.6,17.6,27.8
1991-07,경북,24,20.9,27.8
1991-08,경북,23.1,19.7,27.3
1991-09,경북,20.1,15.7,25.4
1991-10,경북,13.6,7.4,20.9
1991-11,경북,6.5,0.3,14
1991-12,경북,3.4,-1.1,9
1992-01,경북,1.1,-3.3,6.5
1992-02,경북,1.4,-4,7.7
1992-03,경북,6.9,2,12.4
1992-04,경북,12.6,6.4,18.9
1992-05,경북,15.8,9.6,22.1
1992-06,경북,20.3,14.6,26.5
1992-07,경북,25.6,21,31.1
1992-08,경북,23.7,20.6,27.6
1992-09,경북,20.2,15.9,25.3
1992-10,경북,13.2,7.7,19.9
1992-11,경북,6.5,0.6,13.6
1992-12,경북,2.5,-2.1,7.7
1993-01,경북,-0.8,-5.3,4.4
1993-02,경북,2.2,-3.1,8.3
1993-03,경북,5.3,-0.5,11.8
1993-04,경북,11.9,5.2,18.4
1993-05,경북,16.6,10.8,23.1
1993-06,경북,20.6,16.5,25.6
1993-07,경북,21.4,17.8,25.7
1993-08,경북,21.6,18.2,25.9
1993-09,경북,19.5,14.2,25.7
1993-10,경북,12.8,6.6,19.8
1993-11,경북,8.5,3.9,13.6
1993-12,경북,1,-4,6.9
1994-01,경북,-0.5,-5.5,5.5
1994-02,경북,1.5,-3.8,7.6
1994-03,경북,4.6,-0.7,10.5
1994-04,경북,13.8,6.7,20.8
1994-05,경북,17.6,11.3,23.9
1994-06,경북,21.2,15.6,27.1
1994-07,경북,28.2,23.4,33.8
1994-08,경북,27.3,22.5,32.8
1994-09,경북,20.7,14.7,27.5
1994-10,경북,14.5,8.7,21.1
1994-11,경북,9.3,3.5,16
1994-12,경북,2.5,-2.9,8.4
1995-01,경북,-1,-6,4.7
1995-02,경북,1.7,-4,8.4
1995-03,경북,6.1,0.8,12.2
1995-04,경북,12.2,4.7,19.4
1995-05,경북,16.4,9.7,23
1995-06,경북,19.7,14.8,25.2
1995-07,경북,25,21,29.7
1995-08,경북,26.7,22.5,32.1
1995-09,경북,18.9,13.9,24.5
1995-10,경북,14.5,8.6,21.4
1995-11,경북,6.3,0,13.7
1995-12,경북,0,-5.5,6.3
1996-01,경북,-0.8,-5.8,5
1996-02,경북,-0.2,-5.8,6.1
1996-03,경북,4.8,-0.5,10.4
1996-04,경북,11.2,4.7,17.6
1996-05,경북,17.3,10.9,23.9
1996-06,경북,20.7,16.8,25.1
1996-07,경북,24,19.8,29.1
1996-08,경북,25.1,20.9,30.3
1996-09,경북,20.4,15,26.8
1996-10,경북,14.4,8.4,21.4
1996-11,경북,7.4,2.5,13
1996-12,경북,1.8,-3.7,8.8
1997-01,경북,-1.1,-6.3,4.8
1997-02,경북,1.7,-4.6,8.7
1997-03,경북,7.2,1.1,13.8
1997-04,경북,12.8,6.4,19.3
1997-05,경북,17.5,11.7,23.8
1997-06,경북,21.9,16.3,28.2
1997-07,경북,24.5,20.5,29.4
1997-08,경북,24.9,21.1,29.9
1997-09,경북,19.5,14.3,25.6
1997-10,경북,13.8,7,21.4
1997-11,경북,9.1,3.7,15.2
1997-12,경북,2.6,-2.1,8.1
1998-01,경북,0.1,-4.5,5.2
1998-02,경북,3.9,-1.3,9.7
1998-03,경북,8.2,2.3,14.4
1998-04,경북,15,9.8,21
1998-05,경북,18.2,12.2,24.4
1998-06,경북,19.8,16.1,23.9
1998-07,경북,23.6,20.7,27.3
1998-08,경북,24.4,21.2,28.6
1998-09,경북,21.3,16.9,26.8
1998-10,경북,16.4,11.5,22.1
1998-11,경북,7.7,2.1,14.4
1998-12,경북,3.2,-2,9.5
1999-01,경북,0.5,-4.6,6.4
1999-02,경북,2.2,-3.3,7.6
1999-03,경북,6.6,0.8,12.6
1999-04,경북,12.9,6.7,19.4
1999-05,경북,17.6,11.3,23.9
1999-06,경북,21.5,16.6,26.9
1999-07,경북,23.2,20,27.4
1999-08,경북,23.9,20.6,28.1
1999-09,경북,21.9,18.2,26.6
1999-10,경북,13.8,8.7,20
1999-11,경북,7.8,2.3,14
1999-12,경북,1.6,-3.6,7.5
2000-01,경북,0.3,-4.2,5.1
2000-02,경북,0.2,-5.1,5.9
2000-03,경북,7,0.7,13.6
2000-04,경북,12.3,5.9,18.8
2000-05,경북,17.9,11.7,24.5
2000-06,경북,21.7,17,27
2000-07,경북,25.5,21.4,30.8
2000-08,경북,25,21.7,29.6
2000-09,경북,19.3,15.5,24.1
2000-10,경북,14.4,9.2,20.6
2000-11,경북,7.3,2.2,13.4
2000-12,경북,1.8,-3.7,8.1
2001-01,경북,-1.5,-5.8,3.1
2001-02,경북,1.7,-3.3,7.2
2001-03,경북,6.3,0.3,12.7
2001-04,경북,13.3,5.8,20.5
2001-05,경북,18.6,12.7,24.9
2001-06,경북,21.9,17.5,27.1
2001-07,경북,25.6,21.3,30.9
2001-08,경북,25,20.8,30.4
2001-09,경북,20,15.2,25.9
2001-10,경북,15.1,10.6,21
2001-11,경북,6.7,1.2,13.6
2001-12,경북,0.8,-3.7,6.2
2002-01,경북,1.2,-3,5.9
2002-02,경북,2.8,-3,9.3
2002-03,경북,8.3,2.1,14.7
2002-04,경북,13.3,6.9,19.8
2002-05,경북,16.5,11,22.1
2002-06,경북,20.8,14.9,26.9
2002-07,경북,24.2,20.6,28.6
2002-08,경북,23.3,20.5,27.1
2002-09,경북,19.2,14.7,24.9
2002-10,경북,12.5,7.2,18.8
2002-11,경북,4.7,-0.8,10.7
2002-12,경북,2.3,-1.7,7
2003-01,경북,-1.5,-6.3,3.8
2003-02,경북,2.4,-2.2,7.4
2003-03,경북,6.1,0.9,11.6
2003-04,경북,12.4,6.9,18.3
2003-05,경북,16.5,10.9,22.5
2003-06,경북,20.7,16.5,25.7
2003-07,경북,21.5,18.7,25.3
2003-08,경북,23.5,20.2,27.9
2003-09,경북,20.5,16.7,25.4
2003-10,경북,13.2,7.5,20
2003-11,경북,9.8,5,15.1
2003-12,경북,2.4,-2.3,7.6
2004-01,경북,-0.5,-5.2,5.3
2004-02,경북,3.4,-2.6,9.7
2004-03,경북,6.9,0.7,13.3
2004-04,경북,13.8,6.9,20.9
2004-05,경북,17.8,12.5,23.4
2004-06,경북,21.6,16.2,27.4
2004-07,경북,25.5,21.7,30.4
2004-08,경북,24.4,20.9,29.2
2004-09,경북,20.3,16.3,25.3
2004-10,경북,13.9,8.1,20.6
2004-11,경북,9.1,3.6,15.7
2004-12,경북,3.2,-1.8,9.1
2005-01,경북,-0.6,-5.3,4.6
2005-02,경북,-0.2,-5,4.8
2005-03,경북,5.4,-0.3,11.5
2005-04,경북,13.8,6.7,20.8
2005-05,경북,17,10.8,23.6
2005-06,경북,22.6,17.7,28.4
2005-07,경북,24.9,21.3,29.3
2005-08,경북,25,21.4,29.8
2005-09,경북,21,17.4,25.7
2005-10,경북,14.2,9.3,20.3
2005-11,경북,8.1,2.2,14.8
2005-12,경북,-1.9,-6.8,3.5
2006-01,경북,0.8,-3.7,6
2006-02,경북,1.7,-3.1,7
2006-03,경북,6.5,0.4,12.9
2006-04,경북,11.6,6.1,17.6
2006-05,경북,17.1,11.8,22.9
2006-06,경북,21.3,16.4,27
2006-07,경북,22.7,20.1,26.5
2006-08,경북,26.4,22.3,31.7
2006-09,경북,19.1,14.5,24.6
2006-10,경북,16.7,11.3,23.5
2006-11,경북,8.6,3.6,14.3
2006-12,경북,2.1,-2.7,7.9
2007-01,경북,1.6,-3.2,7.4
2007-02,경북,4.6,-1,11
2007-03,경북,7.2,2.1,13.1
2007-04,경북,12.3,6.1,18.7
2007-05,경북,17.9,12,24.5
2007-06,경북,21.4,16.5,26.8
2007-07,경북,23.2,19.9,27.3
2007-08,경북,26,22.3,30.7
2007-09,경북,21.1,17.9,25.2
2007-10,경북,15,10.2,21
2007-11,경북,7.3,1.5,14.1
2007-12,경북,2.7,-1.5,7.7
2008-01,경북,0.4,-3.7,5.1
2008-02,경북,0.3,-5.2,6.4
2008-03,경북,7.3,1.5,13.6
2008-04,경북,13.1,6.7,19.7
2008-05,경북,17.8,11.6,24.2
2008-06,경북,20,15.7,24.7
2008-07,경북,26.4,22.6,31.5
2008-08,경북,24.1,20.1,29.1
2008-09,경북,20.9,16.4,26.5
2008-10,경북,15.6,10.2,22.2
2008-11,경북,7.9,2.8,13.8
2008-12,경북,2,-3.1,8
2009-01,경북,-0.8,-5.9,5.2
2009-02,경북,4.8,-0.5,10.5
2009-03,경북,7.5,1.6,13.4
2009-04,경북,13.4,6.7,20.3
2009-05,경북,18.7,12.5,25.4
