년월,지점,평균기온(℃),최저기온(℃),최고기온(℃)
1985-02,서울경기,-0.7,-4.5,3.9
1985-03,서울경기,3.8,-0.5,8.8
1985-04,서울경기,10.8,5.4,16.8
1985-05,서울경기,17.3,12.4,22.7
1985-06,서울경기,21.4,17.1,26.5
1985-07,서울경기,24.9,21.7,28.6
1985-08,서울경기,26.1,22.8,30.2
1985-09,서울경기,20,16.8,23.9
1985-10,서울경기,14.4,9.6,19.4
1985-11,서울경기,5.7,1.6,9.8
1985-12,서울경기,-3.5,-7.6,0.6
1986-01,서울경기,-5.8,-10.1,-1.2
1986-02,서울경기,-3.6,-8.1,0.7
1986-03,서울경기,4.3,-0.4,9.8
1986-04,서울경기,11.1,5.6,17
1986-05,서울경기,16.2,11.3,21.7
1986-06,서울경기,21.2,17.3,25.7
1986-07,서울경기,23.1,20,26.7
1986-08,서울경기,24,20.7,28.1
1986-09,서울경기,19.4,15.2,24.4
1986-10,서울경기,12.3,8,17.2
1986-11,서울경기,5,0.6,9.7
1986-12,서울경기,1.6,-2.2,5.5
1987-01,서울경기,-3.2,-7.4,1.2
1987-02,서울경기,-0.5,-4.5,3.9
1987-03,서울경기,3.6,-0.6,8.2
1987-04,서울경기,9.9,4.8,15.5
1987-05,서울경기,16.1,11.1,21.5
1987-06,서울경기,21.6,16.9,26.6
1987-07,서울경기,23.2,20.6,26.6
1987-08,서울경기,24.1,21.3,27.8
1987-09,서울경기,19.5,14.9,24.8
1987-10,서울경기,14.8,10,20.3
1987-11,서울경기,7.1,2.6,11.9
1987-12,서울경기,0.5,-3.6,5.1
1988-01,서울경기,-2.3,-6.3,2
1988-02,서울경기,-1.8,-6.2,3.3
1988-03,서울경기,3.7,-0.9,8.5
1988-04,서울경기,10.5,5.5,15.9
1988-05,서울경기,17,12,22.5
1988-06,서울경기,21.5,17.4,26.5
1988-07,서울경기,24.1,21.3,27.5
1988-08,서울경기,25.7,21.8,30.5
1988-09,서울경기,20.7,15.9,26.3
1988-10,서울경기,14.2,8.8,20.2
1988-11,서울경기,5.1,0.2,10.6
1988-12,서울경기,-0.1,-4.3,4.5
1989-01,서울경기,0.3,-3,3.8
1989-02,서울경기,1.8,-2.3,6.7
1989-03,서울경기,5.5,1.2,10.2
1989-04,서울경기,13.1,7.1,19.5
1989-05,서울경기,17,12.2,22.6
1989-06,서울경기,20.5,16.1,25.5
1989-07,서울경기,24.1,20.9,28.2
1989-08,서울경기,25.1,21.2,29.6
1989-09,서울경기,20.2,16,25
1989-10,서울경기,12.9,7.8,18.7
1989-11,서울경기,6.7,2.8,11.3
1989-12,서울경기,1.1,-2.8,5.3
1990-01,서울경기,-3.4,-7.2,0.5
1990-02,서울경기,2.1,-1.3,5.7
1990-03,서울경기,6.6,2.7,10.9
1990-04,서울경기,10.5,6.1,15.5
1990-05,서울경기,15.5,11.7,20
1990-06,서울경기,20.1,17.1,23.8
1990-07,서울경기,24.5,21.9,27.9
1990-08,서울경기,25.8,22.3,30.3
1990-09,서울경기,20.7,16.6,25.5
1990-10,서울경기,14.7,9.4,20.9
1990-11,서울경기,9.7,5.2,14.4
1990-12,서울경기,0.6,-3.3,4.9
1991-01,서울경기,-2.8,-7,1.7
1991-02,서울경기,-1.1,-5.2,3.1
1991-03,서울경기,4.3,0.2,9.1
1991-04,서울경기,11.9,6.5,18.2
1991-05,서울경기,16.6,12,21.8
1991-06,서울경기,21.5,17.6,26.3
1991-07,서울경기,23.9,21.1,27.3
1991-08,서울경기,24.9,21,29.5
1991-09,서울경기,20.5,16.5,25.2
1991-10,서울경기,13.4,8.1,19.3
1991-11,서울경기,6,1.2,11
1991-12,서울경기,1.8,-2,6
1992-01,서울경기,-0.6,-4.2,3.4
1992-02,서울경기,0.4,-3.9,5
1992-03,서울경기,6.7,2.5,11.7
1992-04,서울경기,11.1,6.1,16.7
1992-05,서울경기,15.5,10.9,20.8
1992-06,서울경기,19.8,15.4,24.9
1992-07,서울경기,24.1,21.5,27.8
1992-08,서울경기,24.5,21.1,28.7
1992-09,서울경기,20.4,16.2,24.9
1992-10,서울경기,13.5,8.8,18.8
1992-11,서울경기,5.9,1.3,11.1
1992-12,서울경기,1.2,-2.7,5.2
1993-01,서울경기,-2.5,-6.4,1.9
1993-02,서울경기,0.4,-3.8,5
1993-03,서울경기,4.9,0.5,9.9
1993-04,서울경기,9.6,5.2,14.7
1993-05,서울경기,17,12.2,22.6
1993-06,서울경기,20.3,16.8,24.8
1993-07,서울경기,22.8,19.4,26.9
1993-08,서울경기,22.8,19.5,26.9
1993-09,서울경기,20.7,16.1,25.9
1993-10,서울경기,12.9,7.2,18.9
1993-11,서울경기,8.2,4.5,12.3
1993-12,서울경기,-0.3,-4.4,3.9
1994-01,서울경기,-1.4,-5.7,3
1994-02,서울경기,0.1,-4.4,5.4
1994-03,서울경기,3.5,-1.1,8.4
1994-04,서울경기,13.8,8.1,20.2
1994-05,서울경기,17,12.4,22.1
1994-06,서울경기,21.5,16.9,26.8
1994-07,서울경기,27.7,24.5,31.7
1994-08,서울경기,27.1,23.6,31.3
1994-09,서울경기,20.7,15.9,25.7
1994-10,서울경기,14.9,10.4,20.1
1994-11,서울경기,8.8,4.2,13.5
1994-12,서울경기,1,-3.2,5.1
1995-01,서울경기,-2.2,-6.5,2.1
1995-02,서울경기,0.5,-4.4,5.9
1995-03,서울경기,5.5,1.3,10.1
1995-04,서울경기,10.3,5.4,15.9
1995-05,서울경기,16.1,11,21.2
1995-06,서울경기,20.8,16.9,25.7
1995-07,서울경기,24.1,21,27.5
1995-08,서울경기,25.8,23.1,29.2
1995-09,서울경기,19.7,15.2,24.6
1995-10,서울경기,15.1,9.8,20.6
1995-11,서울경기,6.1,1,11.7
1995-12,서울경기,-1.2,-5.3,3.3
1996-01,서울경기,-2.4,-6.6,2.5
1996-02,서울경기,-1.9,-6.5,3.1
1996-03,서울경기,4.4,0,9.1
1996-04,서울경기,9.4,4.8,14.3
1996-05,서울경기,17,11.7,22.9
1996-06,서울경기,21.4,18.1,25.8
1996-07,서울경기,24,20.6,28.2
1996-08,서울경기,25.7,22.3,30.2
1996-09,서울경기,21.4,16.6,27.2
1996-10,서울경기,14.2,9.1,19.7
1996-11,서울경기,5.9,1.7,10.6
1996-12,서울경기,1.3,-3.3,6.2
1997-01,서울경기,-3.6,-8,1.4
1997-02,서울경기,0,-4.9,5.6
1997-03,서울경기,5.9,1.2,11.3
1997-04,서울경기,11.7,6.8,17.4
1997-05,서울경기,16.3,12.1,21.1
1997-06,서울경기,22.3,17.9,27.5
1997-07,서울경기,25.3,22.1,29.5
1997-08,서울경기,26.2,22.6,30.7
1997-09,서울경기,19.8,15.2,25.3
1997-10,서울경기,13,7.4,18.9
1997-11,서울경기,8.2,3.7,13.6
1997-12,서울경기,1.4,-2.6,6
1998-01,서울경기,-1.5,-5.5,3.1
1998-02,서울경기,2.7,-1.8,7.7
1998-03,서울경기,6.4,1.7,11.9
1998-04,서울경기,14.4,10,20
1998-05,서울경기,17.9,13.1,23.5
1998-06,서울경기,20.9,17.1,25.5
1998-07,서울경기,24.4,21.3,28.3
1998-08,서울경기,24.8,21.8,28.8
1998-09,서울경기,22.4,18.2,27.5
1998-10,서울경기,16.5,11.9,21.9
1998-11,서울경기,6.9,2.4,12.2
1998-12,서울경기,1.6,-3,6.8
1999-01,서울경기,-1.2,-5.6,3.6
1999-02,서울경기,0.2,-4,4.9
1999-03,서울경기,5.8,0.6,11.2
1999-04,서울경기,12.6,7.5,18.5
1999-05,서울경기,16.3,11.6,21.7
1999-06,서울경기,21.8,17.5,27
1999-07,서울경기,25,21.6,29.2
1999-08,서울경기,25.4,21.9,29.9
1999-09,서울경기,22.3,18.8,26.7
1999-10,서울경기,13.7,9.4,18.8
1999-11,서울경기,7.4,3.1,12.5
1999-12,서울경기,0.1,-4.1,4.5
2000-01,서울경기,-2.3,-6.1,1.6
2000-02,서울경기,-2,-6.3,2.4
2000-03,서울경기,5.5,0.7,10.9
2000-04,서울경기,11.2,6.4,16.4
2000-05,서울경기,16.6,12.3,21.7
2000-06,서울경기,22.5,18.4,27.8
2000-07,서울경기,26,22.7,30.4
2000-08,서울경기,25.8,22.8,29.8
2000-09,서울경기,20.4,16.8,24.7
2000-10,서울경기,14.4,9.8,19.4
2000-11,서울경기,6.4,1.8,11.3
2000-12,서울경기,0.5,-3.8,5
2001-01,서울경기,-4.5,-8.7,-0.4
2001-02,서울경기,-0.9,-4.8,3.5
2001-03,서울경기,4.3,0.1,9.2
2001-04,서울경기,12.3,7.1,18.3
2001-05,서울경기,17.9,13.5,23.5
2001-06,서울경기,21.7,18.3,26.3
2001-07,서울경기,25.2,22.4,29.2
2001-08,서울경기,25.9,22.1,30.5
2001-09,서울경기,21.9,17.1,27.5
2001-10,서울경기,16,11.6,21.1
2001-11,서울경기,6.6,2.1,11.6
2001-12,서울경기,-0.9,-4.9,3.5
2002-01,서울경기,-0.2,-3.8,3.8
