년월,지점,평균기온(℃),최저기온(℃),최고기온(℃)
1986-05,전남,17.1,12.3,22.3
1986-06,전남,21.2,17.7,25.5
1986-07,전남,23.1,20.6,26.4
1986-08,전남,25.6,21.7,30.2
1986-09,전남,20.2,16.5,24.7
1986-10,전남,14.4,10,19.8
1986-11,전남,8.6,4,13.9
1986-12,전남,5.4,1.2,10.2
1987-01,전남,1.6,-2.4,6.4
1987-02,전남,3.4,-0.8,8.6
1987-03,전남,6.1,1.8,10.9
1987-04,전남,11.8,6.8,17.6
1987-05,전남,17.2,12.4,22.5
1987-06,전남,21.2,17.1,25.9
1987-07,전남,23.8,21.6,27
1987-08,전남,24.9,22.2,28.2
1987-09,전남,20.4,16.4,25.6
1987-10,전남,17.3,12.6,22.8
1987-11,전남,10.3,5.6,15.8
1987-12,전남,4,-0.4,10
1988-01,전남,2.3,-1.7,7.1
1988-02,전남,1.8,-2.2,6.8
1988-03,전남,5.7,1.3,10.8
1988-04,전남,12,6.6,17.8
1988-05,전남,17.3,12.5,22.7
1988-06,전남,21.3,17.9,25.9
1988-07,전남,25,22.3,28.5
1988-08,전남,25.8,22.1,30.4
1988-09,전남,21.9,17.8,27
1988-10,전남,16.5,11.3,22.8
1988-11,전남,8.6,3.6,14.2
1988-12,전남,3.9,-0.5,9.1
1989-01,전남,3.5,0.1,7.6
1989-02,전남,4.5,0.8,8.9
1989-03,전남,7.2,2.5,13
1989-04,전남,14.1,8.6,20.3
1989-05,전남,17.7,13,23.1
1989-06,전남,20.1,16.4,24.5
1989-07,전남,24.4,21.7,27.9
1989-08,전남,25.5,22.2,29.6
1989-09,전남,21.7,18.3,25.9
1989-10,전남,15.4,10.3,21.6
1989-11,전남,9.7,5.6,14.9
1989-12,전남,4.8,0.7,10
1990-01,전남,1,-2.8,5.5
1990-02,전남,5.4,1.9,9.6
1990-03,전남,8.4,3.9,13.5
1990-04,전남,12.1,7.2,17.1
1990-05,전남,16.9,12.6,21.5
1990-06,전남,21.6,18.2,25.6
1990-07,전남,25.7,22.9,29.6
