년월,지점,평균기온(℃),최저기온(℃),최고기온(℃)
1986-03,충남,4.4,-1,10.9
1986-04,충남,11.2,4.2,18.3
1986-05,충남,16.3,10.5,22.5
1986-06,충남,21.4,17.1,26.4
1986-07,충남,23.5,19.9,27.7
1986-08,충남,24.5,20.3,29.6
1986-09,충남,18.7,13.9,24.7
1986-10,충남,11.9,6.8,18.4
1986-11,충남,5.4,0.4,11.7
1986-12,충남,2.2,-2.1,7.4
1987-01,충남,-1.6,-5.9,3.2
1987-02,충남,0.5,-4,5.8
1987-03,충남,4.1,-1.2,10
1987-04,충남,10.1,3.6,17.2
1987-05,충남,16.4,10.5,22.9
1987-06,충남,21.5,16.3,27.4
1987-07,충남,23.7,20.3,27.6
1987-08,충남,24.6,21.2,29
1987-09,충남,19.1,13.9,25.4
1987-10,충남,14.5,8.8,21.5
1987-11,충남,7.2,1.9,13.6
1987-12,충남,0.9,-4.1,7.1
1988-01,충남,-1.4,-6.3,3.8
1988-02,충남,-1.2,-6.7,5
1988-03,충남,3.5,-1.8,9.5
1988-04,충남,10.6,3.5,17.5
1988-05,충남,17.1,10.8,23.9
1988-06,충남,21.8,17,27.2
1988-07,충남,24.7,21.5,28.5
1988-08,충남,25.4,20.7,31
1988-09,충남,20.2,14.9,26.7
1988-10,충남,13.5,7,21.2
1988-11,충남,4.8,-1.3,11.8
1988-12,충남,0.4,-4.1,6.1
1989-01,충남,0.6,-3.3,5.2
1989-02,충남,1.8,-3.1,7.5
1989-03,충남,5.1,-0.5,11.5
1989-04,충남,12.7,5.3,20.4
1989-05,충남,17,11.2,23.5
1989-06,충남,20.3,15.4,25.7
1989-07,충남,24.2,20.2,29.1
1989-08,충남,25.1,20.7,30
1989-09,충남,19.9,15.2,25.6
1989-10,충남,12.5,6.2,20.1
1989-11,충남,6.8,2.4,12.4
1989-12,충남,1.5,-3.3,7
1990-01,충남,-2.3,-6.8,2.4
1990-02,충남,2.3,-1.9,7
1990-03,충남,6.3,1,12.3
1990-04,충남,10.7,5,16.9
1990-05,충남,16.1,11.4,21.4
1990-06,충남,21.1,17.4,25.9
1990-07,충남,25.4,22.1,29.7
1990-08,충남,25.9,21.3,31.8
1990-09,충남,21,16.6,26.6
1990-10,충남,13.7,7.4,21.7
1990-11,충남,9.3,4,15.8
1990-12,충남,1.1,-3.3,6.6
1991-01,충남,-1.9,-6.5,3.6
1991-02,충남,-1.1,-5.8,4.2
1991-03,충남,4.4,-0.5,10.5
1991-04,충남,11.4,4.2,19.4
1991-05,충남,16.7,10.8,23.1
1991-06,충남,21.8,17.1,27.3
1991-07,충남,24.3,21,28.1
1991-08,충남,24.2,19.8,29.4
1991-09,충남,19.9,15.4,25.5
1991-10,충남,12.4,5.8,20.2
1991-11,충남,5.4,-0.6,12.7
1991-12,충남,1.9,-2.8,7.9
1992-01,충남,-0.4,-4.6,5
1992-02,충남,0.2,-5.1,6.3
1992-03,충남,6.1,0.7,12.5
1992-04,충남,11,4.2,18.4
1992-05,충남,15.7,9.9,22.3
1992-06,충남,20,14.4,26.3
1992-07,충남,24.9,21.2,29.7
1992-08,충남,24.5,20.6,29.7
1992-09,충남,19.7,14.9,25.4
1992-10,충남,12.7,7.1,20
1992-11,충남,5.7,0.5,12.7
1992-12,충남,1.6,-3,7.1
1993-01,충남,-2,-6.7,3.5
1993-02,충남,0.7,-4.3,6.8
1993-03,충남,4.3,-1.5,11.4
1993-04,충남,10,3.5,17
1993-05,충남,16.9,10.7,24
1993-06,충남,20.8,16.4,26.2
1993-07,충남,23,19.3,27.6
1993-08,충남,22.1,18.2,27
1993-09,충남,19.8,13.8,26.6
1993-10,충남,11.9,5.3,19.6
1993-11,충남,8,3.4,13.4
1993-12,충남,0.2,-4.6,5.7
1994-01,충남,-1.6,-6.7,4.5
1994-02,충남,0,-5.3,6.8
1994-03,충남,3.2,-2.7,9.6
1994-04,충남,13.4,5.8,21.4
1994-05,충남,17.1,11.3,23.3
1994-06,충남,21.5,15.8,27.8
1994-07,충남,27.9,23.7,33.4
1994-08,충남,26.7,22.6,31.8
1994-09,충남,19.7,13.8,26.6
1994-10,충남,13.9,8.3,21
1994-11,충남,8.1,2,15.3
1994-12,충남,1.4,-3.8,7.2
1995-01,충남,-2.1,-7.2,3.7
1995-02,충남,-0.4,-6.3,7.1
1995-03,충남,5.1,-0.3,11.5
1995-04,충남,9.9,2.8,17.7
1995-05,충남,15.9,9.2,22.4
1995-06,충남,21,15.7,27
1995-07,충남,24.6,20.9,29
1995-08,충남,26.1,22.6,30.8
1995-09,충남,18.9,13.8,25.1
1995-10,충남,14.2,8.3,21.6
1995-11,충남,5.5,-0.3,13
1995-12,충남,-1.3,-6.1,4.6
1996-01,충남,-1.9,-6.9,4
1996-02,충남,-1.9,-7.3,4.3
1996-03,충남,4,-1.5,9.8
1996-04,충남,8.9,2.4,15.6
1996-05,충남,16.5,10.1,23.7
1996-06,충남,21.2,17.8,25.8
1996-07,충남,24.5,20.9,29.2
1996-08,충남,25.6,21.6,30.8
1996-09,충남,20.3,14.6,27.6
1996-10,충남,13.5,7.7,20.7
1996-11,충남,6.6,1.7,12.1
1996-12,충남,0.8,-4.4,7.6
1997-01,충남,-2.7,-7.9,3.2
1997-02,충남,-0.3,-6.4,6.9
1997-03,충남,5.6,-0.2,12.7
1997-04,충남,11.4,4.9,18.5
1997-05,충남,16.8,11.5,22.6
1997-06,충남,22,16.8,28.1
1997-07,충남,25.1,21.5,30
1997-08,충남,25.7,21.5,31.3
1997-09,충남,19.4,14.1,26.3
1997-10,충남,12.7,5.7,20.2
1997-11,충남,8,2.8,14.7
1997-12,충남,1.5,-3.1,7.1
1998-01,충남,-1.3,-6.1,3.8
1998-02,충남,2.6,-2.8,8.4
1998-03,충남,6.1,-0.4,13
1998-04,충남,14.5,9.6,20.5
1998-05,충남,17.4,11.8,23.8
1998-06,충남,20.4,16.3,25
1998-07,충남,24.4,21.2,28.3
1998-08,충남,24.7,21.3,28.9
1998-09,충남,21.5,16.8,27.5
1998-10,충남,15.6,10.4,22
1998-11,충남,7.1,1.3,13.9
1998-12,충남,1.6,-3.9,8.3
1999-01,충남,-0.4,-6,5.4
1999-02,충남,0.5,-5.1,6.3
1999-03,충남,5.5,-0.6,11.9
1999-04,충남,12,5.7,18.9
1999-05,충남,16.2,10.2,22.2
1999-06,충남,21.6,16.5,27.5
1999-07,충남,24.4,20.7,28.9
1999-08,충남,24.9,21.2,29.6
1999-09,충남,22,18.3,27
1999-10,충남,13.3,8,19.8
1999-11,충남,7.2,2,13.6
1999-12,충남,0.4,-4.7,6.1
2000-01,충남,-1.3,-5.7,3.2
2000-02,충남,-1.9,-7.3,3.8
2000-03,충남,4.6,-2.5,11.9
2000-04,충남,10.1,3.2,16.8
2000-05,충남,15.8,10.3,22
2000-06,충남,21.2,16.9,26.6
2000-07,충남,25.6,21.8,30.5
2000-08,충남,25.7,22,30.5
2000-09,충남,19.6,15.4,24.9
2000-10,충남,13.8,8.1,20.8
2000-11,충남,6,0.6,12.6
2000-12,충남,0.8,-4.7,7
2001-01,충남,-2.9,-7.9,2.1
2001-02,충남,0.1,-4.7,5.7
2001-03,충남,4.5,-1.7,10.9
2001-04,충남,11.8,4.3,19.7
2001-05,충남,18.2,12.5,24.6
2001-06,충남,21.9,17.8,26.8
2001-07,충남,25.9,22.5,30.5
2001-08,충남,25.6,21.2,31.1
2001-09,충남,21,15,27.9
2001-10,충남,14.9,9.5,21.6
2001-11,충남,6,0.1,13
2001-12,충남,-0.4,-5.3,5.2
2002-01,충남,0.9,-3.6,5.9
2002-02,충남,0.9,-4.9,7.8
2002-03,충남,6.6,-0.2,13.7
2002-04,충남,13,6.6,19.9
2002-05,충남,16.6,11.5,22.5
2002-06,충남,21.1,15.7,27.2
2002-07,충남,24.7,21.2,29
2002-08,충남,24,21.1,27.9
2002-09,충남,20,15.5,26.1
2002-10,충남,11.9,6.4,18.6
2002-11,충남,4,-1.4,9.7
2002-12,충남,1.4,-3.2,6.6
2003-01,충남,-3,-8,2.4
2003-02,충남,1.5,-3.4,7.2
2003-03,충남,5.2,-0.3,11.1
2003-04,충남,11.8,6.3,17.8
2003-05,충남,17.9,12.1,24.4
2003-06,충남,20.7,16.5,25.8
2003-07,충남,23,19.9,27.2
2003-08,충남,23.5,20.3,27.8
2003-09,충남,20.6,16.4,25.9
2003-10,충남,12.7,6.5,20
2003-11,충남,8.8,3.6,14.7
2003-12,충남,0.9,-3.8,6.3
2004-01,충남,-2.2,-7.2,4
2004-02,충남,1.8,-4.3,8.5
2004-03,충남,5.2,-1.4,12.1
2004-04,충남,11.6,4.4,19
2004-05,충남,16.8,11.7,22.4
2004-06,충남,21.8,17,27.4
2004-07,충남,25,21.8,29.1
2004-08,충남,25.4,21.6,30.6
2004-09,충남,20.7,15.9,26.5
2004-10,충남,13.7,7,21.5
2004-11,충남,8.1,2.6,15
2004-12,충남,2.3,-2.8,8.3
2005-01,충남,-1.7,-6.7,3.7
2005-02,충남,-1,-5.9,3.9
2005-03,충남,4,-2,10.2
2005-04,충남,12.4,5.6,19.5
2005-05,충남,16.6,10.1,23.7
2005-06,충남,22.1,17.8,27.5
2005-07,충남,25,21.6,29.4
2005-08,충남,25,21.7,29.5
2005-09,충남,21.8,17.8,26.9
2005-10,충남,13.5,8,20.4
2005-11,충남,7.4,1.1,14.6
2005-12,충남,-3.5,-8.6,1.8
2006-01,충남,-0.4,-4.8,4.9
2006-02,충남,0.1,-5,5.4
2006-03,충남,4.6,-2,11.2
2006-04,충남,10.4,4.7,16
2006-05,충남,17.3,11.9,23.1
2006-06,충남,21.2,16.6,26.8
2006-07,충남,23.2,20.6,26.7
2006-08,충남,26.1,22.1,31.5
2006-09,충남,19.4,14.3,25.4
2006-10,충남,16.2,10.7,23.1
2006-11,충남,8,2.3,14
2006-12,충남,1,-3.5,6.9
2007-01,충남,-0.4,-5.3,5.4
2007-02,충남,2.9,-2.9,9.9
2007-03,충남,6,0.5,12.2
2007-04,충남,10.6,4,17.2
2007-05,충남,17.2,11.5,23.4
2007-06,충남,22,17.3,27.3
2007-07,충남,24,20.8,28.2
2007-08,충남,26,22.8,30.4
2007-09,충남,21.3,17.8,25.6
2007-10,충남,14.5,9.6,20.9
2007-11,충남,6.2,0.6,13.1
2007-12,충남,1.7,-2.5,6.9
2008-01,충남,-1.5,-5.5,3
2008-02,충남,-1.9,-7.6,4.2
2008-03,충남,6.1,-0.1,12.9
2008-04,충남,12.5,5.7,19.5
2008-05,충남,16.8,10.9,23.2
2008-06,충남,21,16.7,26.1
2008-07,충남,25.7,22.5,30
2008-08,충남,24.7,20.6,29.7
2008-09,충남,21.2,16.6,27.3
2008-10,충남,14.9,9.4,22
2008-11,충남,7.1,1.7,13.5
2008-12,충남,1.6,-3.3,7.1
2009-01,충남,-1.9,-7.3,4.3
2009-02,충남,2.8,-2.6,8.4
2009-03,충남,6,0,12
2009-04,충남,11.4,4.7,18.5
2009-05,충남,17.6,11.4,24
2009-06,충남,21.6,16.5,27
2009-07,충남,23.6,19.9,28
2009-08,충남,24.7,20.6,29.5
2009-09,충남,20.6,15.6,26.7
2009-10,충남,14.9,8.9,22.3
2009-11,충남,7.4,3,12.2
2009-12,충남,0.2,-4.1,4.9
2010-01,충남,-2.7,-7.7,2.6
2010-02,충남,1.7,-2.8,6.5
2010-03,충남,5.1,0.3,9.5
2010-04,충남,9.2,3.4,15.2
2010-05,충남,16.6,10.9,22.6
2010-06,충남,22.2,17.3,28
2010-07,충남,25.4,22.1,29.6
2010-08,충남,26.7,23.7,30.9
2010-09,충남,21.8,17.9,26.9
2010-10,충남,13.7,8.3,20.2
2010-11,충남,6.6,0.6,13.1
2010-12,충남,0.2,-4.8,5.8
2011-01,충남,-5.9,-11.4,-0.5
2011-02,충남,0.8,-4.5,7.1
2011-03,충남,3.6,-2.1,9.4
2011-04,충남,10.2,3.8,16.7
2011-05,충남,17.3,11.9,23
2011-06,충남,21.6,17.1,27
2011-07,충남,25.1,22.3,28.8
2011-08,충남,25.1,22.2,29.2
2011-09,충남,20.5,16.2,26
2011-10,충남,12.8,7,19.7
2011-11,충남,10.8,6.3,16.2
2011-12,충남,0,-4.5,4.7
2012-01,충남,-2.3,-7,2.6
2012-02,충남,-1.7,-7.1,4
2012-03,충남,4.5,-0.5,9.8
2012-04,충남,11.5,5,18.3
2012-05,충남,18.2,12.3,24.8
2012-06,충남,22.6,17.8,28.2
2012-07,충남,25.3,21.8,29.7
2012-08,충남,26.4,22.9,30.8
2012-09,충남,19.8,15.7,24.9
2012-10,충남,13.5,7.7,20.7
2012-11,충남,5.8,1.1,11
2012-12,충남,-3.1,-7.6,1.7
2013-01,충남,-3.2,-8.5,2.3
2013-02,충남,-0.6,-5.5,4.5
2013-03,충남,4.8,-1.5,11.9
2013-04,충남,9.2,2.7,15.4
2013-05,충남,17,11,23.5
2013-06,충남,22.7,18.1,28.4
2013-07,충남,26,23,29.5
2013-08,충남,26.8,23,31.7
2013-09,충남,20.7,16.3,26.2
2013-10,충남,14.8,9.2,21.5
2013-11,충남,6.3,1.4,12
2013-12,충남,0.7,-3.7,5.8
2014-01,충남,-0.6,-6.3,5.4
2014-02,충남,2,-2.9,7.6
2014-03,충남,6.9,1.1,12.9
2014-04,충남,12.7,6.5,19.8
2014-05,충남,17.6,11.5,24.2
2014-06,충남,22.1,17.8,27.4
2014-07,충남,24.9,21.2,29.6
2014-08,충남,23.7,20.6,27.8
2014-09,충남,20.6,15.6,26.9
2014-10,충남,14.3,8.5,21.1
2014-11,충남,8,3.2,13.8
2014-12,충남,-1.4,-5.9,3.2
2015-01,충남,-0.4,-4.9,4.6
2015-02,충남,1.3,-3.4,6.4
2015-03,충남,5.5,-1.3,12.7
2015-04,충남,12.3,6.5,18.3
2015-05,충남,17.6,11.1,24.4
2015-06,충남,21.8,16.9,27.6
2015-07,충남,24.4,21,28.7
2015-08,충남,25.1,21.2,30.2
2015-09,충남,20.5,15.1,26.9
2015-10,충남,14.4,8.7,21.5
2015-11,충남,9.6,6.1,13.7
2015-12,충남,2.8,-1.4,7.6
2016-01,충남,-1.6,-5.9,2.9
2016-02,충남,0.9,-4.3,6.2
2016-03,충남,6.1,0.1,12.9
2016-04,충남,13.1,7,20.3
2016-05,충남,18.1,11.6,25
2016-06,충남,22.2,17.6,27.5
2016-07,충남,25.5,21.9,30
2016-08,충남,26.5,22.1,32.1
2016-09,충남,21.6,17.5,26.7
2016-10,충남,15.2,10.9,20.6
2016-11,충남,6.9,1.6,12.6
2016-12,충남,2,-3,7.5
2017-01,충남,-1.2,-6.4,4.5
2017-02,충남,0.2,-5.4,6.1
2017-03,충남,5.2,-1.4,12.1
2017-04,충남,12.6,6.2,19.5
2017-05,충남,17.6,10.9,24.6
2017-06,충남,21.4,15.9,27.6
2017-07,충남,26,23.2,29.9
2017-08,충남,25.1,21.5,29.7
2017-09,충남,20.1,15,26.1
2017-10,충남,14.5,9.4,20.8
2017-11,충남,5.7,-0.1,11.8
2017-12,충남,-0.8,-5.5,4.3
2018-01,충남,-3.2,-7.8,1.9
2018-02,충남,-1.4,-7.3,4.6
2018-03,충남,7.3,1.5,13.6
2018-04,충남,12.3,5.9,18.8
2018-05,충남,17.6,12.1,23.3
2018-06,충남,21.9,17.1,27.8
2018-07,충남,26.7,22.6,31.7
2018-08,충남,27.5,23.2,32.7
2018-09,충남,20.1,15.4,25.5
2018-10,충남,12,6.5,18.8
2018-11,충남,7,1.6,14
2018-12,충남,0.1,-4.8,5.4
2019-01,충남,-1.2,-6.8,5.1
2019-02,충남,0.8,-4.5,7
2019-03,충남,6.1,-0.2,13
2019-04,충남,11.1,4.8,17.7
2019-05,충남,17.4,10.1,24.9
2019-06,충남,20.9,16,26.5
2019-07,충남,24.6,21,29
2019-08,충남,25.8,21.6,31
2019-09,충남,21.3,17.2,26.4
2019-10,충남,15.2,10.1,21.2
2019-11,충남,7.9,2.1,14.8
2019-12,충남,2.1,-2.5,7.5
2020-01,충남,2.1,-2.1,7.3
2020-02,충남,2.8,-2.4,8.7
2020-03,충남,7.2,0.7,13.8
2020-04,충남,10.2,3.3,17.2
2020-05,충남,17.6,12.5,23.4
2020-06,충남,22.7,18.4,27.9
2020-07,충남,23.1,20.1,26.9
2020-08,충남,26.6,23.7,30.6
2020-09,충남,20.4,16.5,25.5
2020-10,충남,13.3,7.5,20.1
2020-11,충남,7.9,2.8,13.9
2020-12,충남,0.1,-4.6,5.7
2021-01,충남,-1.6,-7,4
2021-02,충남,3,-2.6,9
2021-03,충남,8.3,2.3,15
2021-04,충남,13.4,7.1,19.8
2021-05,충남,16.5,11.3,22.3
2021-06,충남,22.2,17.8,27.4
2021-07,충남,26.7,22.6,31.6
2021-08,충남,25.1,21.7,29.6
2021-09,충남,21.8,17.9,26.6
2021-10,충남,14.9,10,21.4
