년월,지점,평균기온(℃),최저기온(℃),최고기온(℃)
1985-02,강원영동,1.8,-1.8,5.7
1985-03,강원영동,5.3,1.8,9.2
1985-04,강원영동,11.7,7.3,16
1985-05,강원영동,17,12.3,21.2
1985-06,강원영동,19.4,16.3,22.7
1985-07,강원영동,25.3,22.3,29.1
1985-08,강원영동,25.3,22.7,28.6
1985-09,강원영동,20.1,17.4,23.7
1985-10,강원영동,15.5,11.9,19.6
1985-11,강원영동,7.6,3.8,11.5
1985-12,강원영동,0.4,-3.6,5
1986-01,강원영동,-2.2,-6.2,2.7
1986-02,강원영동,-1.7,-5.4,2.7
1986-03,강원영동,3.9,0.1,8.3
1986-04,강원영동,11.4,6.4,16.3
1986-05,강원영동,16.4,11.5,21.3
1986-06,강원영동,17.6,15,20.5
1986-07,강원영동,20.4,18.1,23.3
1986-08,강원영동,23.5,20.8,26.8
1986-09,강원영동,18.8,15.2,22.5
1986-10,강원영동,12.7,8.9,16.7
1986-11,강원영동,8,4,12.4
1986-12,강원영동,4.6,1.3,8.6
1987-01,강원영동,0.5,-3.1,4.9
1987-02,강원영동,2,-1.4,6
1987-03,강원영동,4.9,1.4,8.8
1987-04,강원영동,12.1,7.2,17.2
1987-05,강원영동,17.9,13.2,22.9
1987-06,강원영동,20.6,16.6,24.8
1987-07,강원영동,24.3,21.4,27.7
1987-08,강원영동,22.9,20.5,25.8
1987-09,강원영동,19,15.1,23.1
1987-10,강원영동,15.9,12.1,20.3
1987-11,강원영동,8.5,4.8,12.7
1987-12,강원영동,4.1,0.3,8.5
1988-01,강원영동,1.5,-2.3,5.9
1988-02,강원영동,-0.1,-3.8,4.3
1988-03,강원영동,4.7,0.5,9
1988-04,강원영동,13.1,8.9,18
1988-05,강원영동,17.4,13.1,22
1988-06,강원영동,20,17,23.6
1988-07,강원영동,21.7,19.6,24.4
1988-08,강원영동,24.8,21.8,28.3
1988-09,강원영동,20.1,16.9,23.6
1988-10,강원영동,15.7,11.3,20.6
1988-11,강원영동,8,3.9,12.6
1988-12,강원영동,3.6,-0.4,8.2
1989-01,강원영동,1.9,-1.1,5.5
1989-02,강원영동,3.2,0,7.2
1989-03,강원영동,6.3,2.8,9.8
1989-04,강원영동,13.5,8,18.4
1989-05,강원영동,17.4,12.9,22.3
1989-06,강원영동,18.9,15.5,22.5
1989-07,강원영동,22.1,19.2,25.7
1989-08,강원영동,23.2,20.1,27
1989-09,강원영동,19.8,16.6,23.5
1989-10,강원영동,14.8,10.4,19.4
1989-11,강원영동,8.5,5.1,12.4
1989-12,강원영동,4,0.6,8.2
1990-01,강원영동,-0.8,-4.4,3.4
1990-02,강원영동,2.9,0.6,6.1
1990-03,강원영동,7.5,3.8,11.7
1990-04,강원영동,11.2,6.8,15.5
1990-05,강원영동,17.1,13.2,21.2
1990-06,강원영동,20.1,17.2,23.6
1990-07,강원영동,22.5,20.2,25.5
1990-08,강원영동,25.5,22.3,29.5
1990-09,강원영동,19.6,16.3,23.6
1990-10,강원영동,15.4,11.3,20.3
1990-11,강원영동,11.5,7.8,15.3
1990-12,강원영동,3.6,-0.3,8.2
1991-01,강원영동,-0.2,-3.5,4.3
1991-02,강원영동,0.4,-3.2,4.5
1991-03,강원영동,4.8,1.5,8.5
1991-04,강원영동,11.8,6.9,16.6
1991-05,강원영동,16.3,11.7,20.5
1991-06,강원영동,22.2,18.1,26.1
1991-07,강원영동,24,20.7,27.4
1991-08,강원영동,22.1,19.1,25.3
1991-09,강원영동,20.2,16.5,24.3
1991-10,강원영동,14.8,10,19.9
1991-11,강원영동,9.1,4.2,14.3
1991-12,강원영동,4.5,0.6,8.8
1992-01,강원영동,2.2,-1.2,6.6
1992-02,강원영동,2.5,-1.9,7.2
1992-03,강원영동,6,2.1,10.2
1992-04,강원영동,12.8,8.3,17.3
1992-05,강원영동,15.5,10.7,19.7
1992-06,강원영동,19.7,15.3,24.2
1992-07,강원영동,25.4,22,29.3
1992-08,강원영동,22.4,19.9,25.1
1992-09,강원영동,20.5,17,24.8
1992-10,강원영동,14.2,10.5,19
1992-11,강원영동,8.7,4.3,13.7
1992-12,강원영동,3.8,0.2,8.4
1993-01,강원영동,0.6,-3,4.5
1993-02,강원영동,2.8,-1.2,7.3
1993-03,강원영동,5.9,1.7,10.4
1993-04,강원영동,11.3,7.1,15.7
1993-05,강원영동,16.1,11.8,20.2
1993-06,강원영동,18.2,15.4,21.5
1993-07,강원영동,20.1,17.6,22.6
1993-08,강원영동,21.5,18.4,24.7
1993-09,강원영동,20.4,16.1,24.8
1993-10,강원영동,14.3,9.6,19.4
1993-11,강원영동,9.9,6.6,13.4
1993-12,강원영동,2.9,-1.2,7.5
1994-01,강원영동,0.7,-3.1,4.6
1994-02,강원영동,1.9,-2.3,6.2
1994-03,강원영동,4.9,0.7,9
1994-04,강원영동,12.8,7.9,17.6
1994-05,강원영동,17.8,13,22.2
1994-06,강원영동,20.3,15.8,24.1
1994-07,강원영동,27.4,23.6,31.2
1994-08,강원영동,26.6,22.9,30.4
1994-09,강원영동,21,16.9,25.2
1994-10,강원영동,15.1,11,19.2
1994-11,강원영동,10.5,6.2,15.1
1994-12,강원영동,4.2,0,8.5
1995-01,강원영동,0.5,-3.8,5.1
1995-02,강원영동,2.5,-1.4,7.1
1995-03,강원영동,5.6,1.6,9.8
1995-04,강원영동,12.2,7.1,17.2
1995-05,강원영동,16.6,11.5,21.2
1995-06,강원영동,18.2,15,21.1
1995-07,강원영동,24.6,21.2,28.2
1995-08,강원영동,26.1,22.5,30
1995-09,강원영동,19.6,15.4,23.9
1995-10,강원영동,15.9,11.2,20.9
1995-11,강원영동,8.7,3.5,14.1
1995-12,강원영동,1.6,-2.5,6.7
1996-01,강원영동,0.1,-4.2,4.9
1996-02,강원영동,0.5,-4,5
1996-03,강원영동,4.4,0.1,8.9
1996-04,강원영동,11.8,6.7,16.5
1996-05,강원영동,15.4,11,20.2
1996-06,강원영동,18.8,15.9,22.4
1996-07,강원영동,22.8,19.7,26.5
1996-08,강원영동,23.3,20.2,26.7
1996-09,강원영동,20.4,16.3,24.9
1996-10,강원영동,14.8,10.6,19.5
1996-11,강원영동,7.7,3.6,12.1
1996-12,강원영동,3.9,-0.3,8.7
1997-01,강원영동,-0.1,-4.2,4.8
1997-02,강원영동,2.4,-1.9,7.1
1997-03,강원영동,7.3,2.5,12.4
1997-04,강원영동,13.2,9,17.7
1997-05,강원영동,16.7,12.4,21.1
1997-06,강원영동,20.7,17,24.3
